BEZEN | סקרנות | משפטים טעונים (חסרוני+מוגזם)
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] צריך לדעת הכל על הנושא
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אי אפשר לעצור את הלמידה
- [אדישות אינטלקטואלית | מוגזם | אמונות] אף פעם אין מספיק ידע
- [אדישות אינטלקטואלית | מוגזם | אמונות] פעולה ללא ידע מלא היא מסוכנת
- [אדישות אינטלקטואלית | מוגזם | אמונות] ערכי נמדד בכמות הידע שצברתי
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] למדתי את זה פעם אחת, זה מספיק
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] דברים עובדים כך מאז ומתמיד
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אני מומחה בתחומי, אין צורך בחידושים
- [אדישות אינטלקטואלית | חסרוני | אמונות] מה שעבד בעבר יעבוד תמיד
- [אדישות אינטלקטואלית | חסרוני | אמונות] ניסיון חשוב יותר מידע עדכני
- [אדישות אינטלקטואלית | חסרוני | אמונות] התחדשות היא רק טרנד חולף
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] תמיד יש עוד קורס שאני חייב לעשות
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] בלי עוד תעודה לא אהיה מספיק טוב
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אני חייב ללמוד כל דבר חדש בתחום
- [אדישות אינטלקטואלית | מוגזם | אמונות] ערכי המקצועי נמדד בכמות ההסמכות
- [אדישות אינטלקטואלית | מוגזם | אמונות] תמיד יש מישהו שיודע יותר
- [אדישות אינטלקטואלית | מוגזם | אמונות] בלי התעדכנות מתמדת אאבד את מקומי
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אם זה פורסם, זה בטח נכון
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אין לי סיבה לפקפק במה שנאמר
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] למה לבדוק, זה נשמע הגיוני
- [אדישות אינטלקטואלית | חסרוני | אמונות] אנשים בעמדות סמכות תמיד אומרים אמת
- [אדישות אינטלקטואלית | חסרוני | אמונות] חיפוש מקורות נוספים הוא בזבוז זמן
- [אדישות אינטלקטואלית | חסרוני | אמונות] ספקנות היא סימן לציניות
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אי אפשר להאמין לשום דבר
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] כולם משקרים
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] תמיד יש קונספירציה מאחורי המידע הרשמי
- [אדישות אינטלקטואלית | מוגזם | אמונות] אמת אובייקטיבית בלתי אפשרית
- [אדישות אינטלקטואלית | מוגזם | אמונות] כל מערכת ידע היא כלי שליטה
- [אדישות אינטלקטואלית | מוגזם | אמונות] רק מי שמפקפק בהכל רואה את האמת
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] זה לא התחום שלי, לא מעניין אותי
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אין לי צורך בידע מתחומים אחרים
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] רק המומחיות הספציפית שלי חשובה
- [אדישות אינטלקטואלית | חסרוני | אמונות] העמקה בתחום אחד עדיפה על ידע רחב
- [אדישות אינטלקטואלית | חסרוני | אמונות] אין ערך בהבנת תחומים לא קשורים
- [אדישות אינטלקטואלית | חסרוני | אמונות] הצלחה תלויה בהתמקדות צרה
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] בואו נלמד גם את זה, וגם את זה, וגם את זה
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אני מתעניין בהכל במקביל
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] כל נושא חדש מרתק אותי
- [אדישות אינטלקטואלית | מוגזם | אמונות] כל ידע שווה ערך
- [אדישות אינטלקטואלית | מוגזם | אמונות] העמקה משעממת יותר מגיוון
- [אדישות אינטלקטואלית | מוגזם | אמונות] אפשר להבין הכל ברמה שטחית
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] הדרך שלנו היא הטובה ביותר
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] מנהגים אחרים הם מוזרים ופרימיטיביים
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] למה להתעניין בתרבויות אחרות
- [אדישות אינטלקטואלית | חסרוני | אמונות] תרבותי היא המתקדמת והנכונה
- [אדישות אינטלקטואלית | חסרוני | אמונות] שיפוט תרבויות לפי הסטנדרטים שלי
- [אדישות אינטלקטואלית | חסרוני | אמונות] אין מה ללמוד מתרבויות 'פחות מפותחות'
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] כל מה שמגיע מתרבויות אחרות הוא עמוק ואותנטי
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] המערב איבד את כל החוכמה שיש בתרבויות מסורתיות
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אני רוצה להפוך להיות כמוהם לגמרי
- [אדישות אינטלקטואלית | מוגזם | אמונות] כל מה שרחוק ושונה עדיף על תרבותי
- [אדישות אינטלקטואלית | מוגזם | אמונות] פשטות תרבותית היא טהורה יותר
- [אדישות אינטלקטואלית | מוגזם | אמונות] אפשר לאמץ זהות תרבותית אחרת בקלות
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] הדרך הישנה תמיד עדיפה
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] טכנולוגיה חדשה היא רק צרות
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אני לא מבין את זה ולא רוצה ללמוד
- [אדישות אינטלקטואלית | חסרוני | אמונות] טכנולוגיה חדשה תמיד מזיקה לחברה
- [אדישות אינטלקטואלית | חסרוני | אמונות] ידני ופשוט תמיד טוב יותר
- [אדישות אינטלקטואלית | חסרוני | אמונות] אי אפשר לסמוך על מכשירים מתוחכמים
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] כל טכנולוגיה חדשה היא מדהימה
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] חייבים להשיג את הגרסה האחרונה מיד
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] טכנולוגיה תפתור את כל הבעיות
- [אדישות אינטלקטואלית | מוגזם | אמונות] חדש תמיד טוב יותר
- [אדישות אינטלקטואלית | מוגזם | אמונות] טכנולוגיה היא המפתח לכל קידמה
- [אדישות אינטלקטואלית | מוגזם | אמונות] מי שלא מאמץ מיד טכנולוגיה חדשה נשאר מאחור
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הימנעות ממאמץ אינטלקטואלי
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] שאילת שאלות שטחיות בלבד
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] התנגדות לשינוי הרגלי חשיבה
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] צלילה לחורי ארנב של מידע
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] שאילת שאלות אינסופית
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] נדידה ממקור למקור ללא יכולת להתמקד או לסכם
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] סירוב לשמוע עמדות מנוגדות
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] פרשנות סלקטיבית של עובדות
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] אי-נכונות לשקול מחדש עמדות
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] קפיצה מדעה לדעה ללא עקביות
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] הימנעות מכל מחויבות לעמדה
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] ערעור תמידי על כל הנחת יסוד
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] דחיינות בלמידה
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הימנעות ממשימות מאתגרות אינטלקטואלית
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הסתמכות על מידע מיושן
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] קריאה אינסופית ללא יישום
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] צבירת קורסים ותעודות באופן כפייתי
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] הזנחת תחומי חיים אחרים לטובת למידה
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הימנעות מהתעדכנות מקצועית
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] התנגדות לשינויים בשיטות עבודה
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] התעלמות מטרנדים בתחום
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] מעבר מקורס לקורס ללא הטמעה
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] צבירת תעודות ללא יישום
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] זניחת תחומי מומחיות לפני שליטה מלאה
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] קבלת מידע ללא אימות
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הימנעות מבדיקת עובדות
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הפצת שמועות ומידע לא מבוסס
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] חיפוש אובססיבי אחר סתירות
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] דחיית כל מידע מ'מקורות ממסדיים'
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] העדפת תיאוריות קונספירציה על הסברים מקובלים
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הימנעות מקריאה בתחומים מגוונים
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] דחיית רעיונות מתחומים שונים
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הסתגרות במגדל השן של המומחיות
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] מעבר תכוף בין נושאים ללא השלמתם
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] התחלת פרויקטים רבים ללא סיום
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] צריכת מידע אקראי ללא אינטגרציה
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הימנעות ממפגש עם תרבויות שונות
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] ביקורת על מנהגים שונים
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] היצמדות לסביבה תרבותית הומוגנית
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] אימוץ סמלים תרבותיים ללא הבנת משמעותם
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] חיקוי שטחי של מנהגים
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] תיירות 'אותנטית' צרכנית
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] הימנעות משימוש במכשירים חדשים
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] התנגדות לשינויים טכנולוגיים
- [אדישות אינטלקטואלית | חסרוני | התנהגויות] דחיית הזדמנויות ללמידה דיגיטלית
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] רכישה כפייתית של מכשירים חדשים
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] שימוש מוגזם בטכנולוגיה בכל תחום
- [אדישות אינטלקטואלית | מוגזם | התנהגויות] הזנחת מיומנויות לא-טכנולוגיות
