BEZEN | אהבה | משפטים טעונים (חסרוני+מוגזם)
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אין לי מספיק לתת
- [שנאה עצמית | חסרוני | דפוסי חשיבה] כל אחד צריך לדאוג לעצמו
- [שנאה עצמית | חסרוני | אמונות] נתינה היא סכנה
- [שנאה עצמית | חסרוני | אמונות] יש לי משאבים מוגבלים
- [שנאה עצמית | חסרוני | אמונות] אם אתן, אשאר בלי כלום
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אחרים קודמים לי תמיד
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אסור לי לסרב לבקשות
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אם אדאג לעצמי, אני אנוכי
- [שנאה עצמית | מוגזם | אמונות] ערכי נמדד במה שאני נותן
- [שנאה עצמית | מוגזם | אמונות] צרכים אישיים הם אנוכיות
- [שנאה עצמית | מוגזם | אמונות] אהבה היא הקרבה מוחלטת
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אי אפשר לדעת מה יקרה
- [שנאה עצמית | חסרוני | דפוסי חשיבה] מחויבות היא כלא
- [שנאה עצמית | חסרוני | דפוסי חשיבה] תמיד יש אופציות טובות יותר
- [שנאה עצמית | חסרוני | אמונות] מחויבות גוזלת חופש
- [שנאה עצמית | חסרוני | אמונות] אנשים תמיד מאכזבים בסוף
- [שנאה עצמית | חסרוני | אמונות] הדשא תמיד ירוק יותר אצל השכן
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אסור שהקשר ישתנה
- [שנאה עצמית | מוגזם | דפוסי חשיבה] איבוד הקשר יהרוס אותי
- [שנאה עצמית | מוגזם | דפוסי חשיבה] חייבים להישאר יחד בכל מחיר
- [שנאה עצמית | מוגזם | אמונות] אהבה אמיתית היא התמזגות
- [שנאה עצמית | מוגזם | אמונות] פרידה היא כישלון מוחלט
- [שנאה עצמית | מוגזם | אמונות] חיים ללא הקשר אינם אפשריים
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אי אפשר לסמוך על אף אחד
- [שנאה עצמית | חסרוני | דפוסי חשיבה] כולם רוצים לנצל
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אם אבטח, אפגע
- [שנאה עצמית | חסרוני | אמונות] העולם הוא מקום מסוכן
- [שנאה עצמית | חסרוני | אמונות] רוב האנשים מרמים אם יכולים
- [שנאה עצמית | חסרוני | אמונות] כדאי תמיד להיות מוכן לבגידה
- [שנאה עצמית | מוגזם | דפוסי חשיבה] כולם בבסיס טובים
- [שנאה עצמית | מוגזם | דפוסי חשיבה] הוא לא היה פוגע בי בכוונה
- [שנאה עצמית | מוגזם | דפוסי חשיבה] תמיד יש הסבר חיובי
- [שנאה עצמית | מוגזם | אמונות] כולם ראויים לאמון מלא
- [שנאה עצמית | מוגזם | אמונות] חשדנות היא תכונה רעה
- [שנאה עצמית | מוגזם | אמונות] אם אאמין מספיק, אנשים יהיו טובים
- [שנאה עצמית | חסרוני | דפוסי חשיבה] כל אחד לחיים שלו
- [שנאה עצמית | חסרוני | דפוסי חשיבה] קרבה יתר יוצרת בעיות
- [שנאה עצמית | חסרוני | אמונות] תלות היא סימן לחולשה
- [שנאה עצמית | חסרוני | אמונות] קרבה מגבילה אותי
- [שנאה עצמית | חסרוני | אמונות] אינטימיות אמיתית אינה אפשרית
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אם הוא אוהב, יתמקד רק בי
- [שנאה עצמית | מוגזם | דפוסי חשיבה] מרחק משמעו אי-אכפתיות
- [שנאה עצמית | מוגזם | דפוסי חשיבה] עצמאות תוביל לאובדן
- [שנאה עצמית | מוגזם | אמונות] אהבה אמיתית היא בלעדיות מוחלטת
- [שנאה עצמית | מוגזם | אמונות] עצמאות מסכנת את הקשר
- [שנאה עצמית | מוגזם | אמונות] חייבים להיות יחד כל הזמן
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אהבה היא אשליה
- [שנאה עצמית | חסרוני | דפוסי חשיבה] בסוף כולם רק דואגים לעצמם
- [שנאה עצמית | חסרוני | דפוסי חשיבה] רומנטיקה היא המצאה תרבותית
- [שנאה עצמית | חסרוני | אמונות] אהבה אמיתית לא קיימת
- [שנאה עצמית | חסרוני | אמונות] קשרים הם עסקה תועלתנית
- [שנאה עצמית | חסרוני | אמונות] פתיחות רגשית היא חולשה
- [שנאה עצמית | מוגזם | דפוסי חשיבה] האהבה תפתור הכל
- [שנאה עצמית | מוגזם | דפוסי חשיבה] קשר אמיתי צריך להיות מושלם
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אם זו אהבה אמיתית, לא יהיו קשיים
- [שנאה עצמית | מוגזם | אמונות] יש נפש תאומה אחת בשבילי
- [שנאה עצמית | מוגזם | אמונות] אהבה אמיתית היא קלה וזורמת
- [שנאה עצמית | מוגזם | אמונות] אהבה מושלמת פותרת כל בעיה
- [שנאה עצמית | חסרוני | התנהגויות] הזנחה עצמית
- [שנאה עצמית | חסרוני | התנהגויות] קושי לקבל מחמאות
- [שנאה עצמית | חסרוני | התנהגויות] ניסיון מתמיד להוכיח את הערך
- [שנאה עצמית | מוגזם | התנהגויות] ניצול יחסים
- [שנאה עצמית | מוגזם | התנהגויות] דרישה לתשומת לב
- [שנאה עצמית | מוגזם | התנהגויות] קושי להתמודד עם ביקורת
- [שנאה עצמית | חסרוני | התנהגויות] הימנעות משיחות עמוקות
- [שנאה עצמית | חסרוני | התנהגויות] שמירת מרחק בטוח
- [שנאה עצמית | חסרוני | התנהגויות] הסתרת רגשות אמיתיים
- [שנאה עצמית | מוגזם | התנהגויות] חקירה מתמדת של רגשות האחר
- [שנאה עצמית | מוגזם | התנהגויות] שיתוף יתר גם עם זרים
- [שנאה עצמית | מוגזם | התנהגויות] מחיקת גבולות אישיים
- [שנאה עצמית | חסרוני | התנהגויות] התעלמות ממצוקת האחר
- [שנאה עצמית | חסרוני | התנהגויות] שינוי נושא בשיחות רגשיות
- [שנאה עצמית | חסרוני | התנהגויות] מיקוד באספקטים טכניים בלבד
- [שנאה עצמית | מוגזם | התנהגויות] לקיחת אחריות יתר על רגשות אחרים
- [שנאה עצמית | מוגזם | התנהגויות] מעורבות יתר בבעיות אחרים
- [שנאה עצמית | חסרוני | התנהגויות] מינימום מאמץ ביחסים
- [שנאה עצמית | חסרוני | התנהגויות] חישוב 'עלות-תועלת' מתמיד
- [שנאה עצמית | חסרוני | התנהגויות] הימנעות ממצבים של נתינה
- [שנאה עצמית | מוגזם | התנהגויות] ויתור מתמיד
- [שנאה עצמית | מוגזם | התנהגויות] קושי לומר 'לא'
- [שנאה עצמית | מוגזם | התנהגויות] דחיית טיפול בצרכים אישיים
- [שנאה עצמית | חסרוני | התנהגויות] יחסים קצרי טווח
- [שנאה עצמית | חסרוני | התנהגויות] פנטזיות על בריחה
- [שנאה עצמית | חסרוני | התנהגויות] התרחקות בזמני קושי
- [שנאה עצמית | מוגזם | התנהגויות] פיקוח ושליטה
- [שנאה עצמית | מוגזם | התנהגויות] דרישה לאישורים תמידיים
- [שנאה עצמית | מוגזם | התנהגויות] הגבלת עצמאות האחר
- [שנאה עצמית | חסרוני | התנהגויות] בדיקות נאמנות
- [שנאה עצמית | חסרוני | התנהגויות] חיפוש סימני בגידה
- [שנאה עצמית | חסרוני | התנהגויות] הימנעות משיתוף
- [שנאה עצמית | מוגזם | התנהגויות] חשיפת מידע רגיש מהר מדי
- [שנאה עצמית | מוגזם | התנהגויות] התעלמות מסימני אזהרה
- [שנאה עצמית | מוגזם | התנהגויות] מתן הזדמנויות אינסופיות
- [שנאה עצמית | חסרוני | התנהגויות] הימנעות משיתוף בחוויות
- [שנאה עצמית | חסרוני | התנהגויות] העדר זמן איכות משותף
- [שנאה עצמית | חסרוני | התנהגויות] יצירת חיים מקבילים
- [שנאה עצמית | מוגזם | התנהגויות] בדיקת טלפונים
- [שנאה עצמית | מוגזם | התנהגויות] הגבלת קשרים חברתיים
- [שנאה עצמית | מוגזם | התנהגויות] התנגדות לזמן נפרד
- [שנאה עצמית | חסרוני | התנהגויות] זלזול ברגשות
- [שנאה עצמית | חסרוני | התנהגויות] הימנעות מהתחייבות
- [שנאה עצמית | חסרוני | התנהגויות] ניתוח קר של יחסים
- [שנאה עצמית | מוגזם | התנהגויות] מעבר מהיר בין התאהבויות
- [שנאה עצמית | מוגזם | התנהגויות] סיום קשרים כשמתגלים חסרונות
- [שנאה עצמית | מוגזם | התנהגויות] חיפוש אינסופי אחר 'האחד'
