BEZEN | אהבת הלמידה | משפטים טעונים (חסרוני+מוגזם)
- [אדישות ללמידה | מוגזם | אמונות] הפסקה היא חולשה
- [אדישות ללמידה | מוגזם | אמונות] חוסר הצלחה מיידית מחייב מאמץ כפול
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] חשוב לדעת, לא חשוב לעשות
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] תיאוריה וביצוע הם דברים נפרדים
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] העיקר לזכור לבחינה
- [אדישות ללמידה | חסרוני | אמונות] ידע תיאורטי הוא המטרה העיקרית
- [אדישות ללמידה | חסרוני | אמונות] יישום הוא עניין טכני פחות חשוב
- [אדישות ללמידה | חסרוני | אמונות] הבנה אקדמית עדיפה על מיומנות מעשית
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אם אי אפשר ליישם את זה מיד, זה חסר ערך
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] רק התוצאה המעשית חשובה
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] למה להבין את התיאוריה כשאפשר פשוט לעשות
- [אדישות ללמידה | מוגזם | אמונות] תיאוריה היא בזבוז זמן
- [אדישות ללמידה | מוגזם | אמונות] חשיבה מעמיקה היא פריבילגיה מיותרת
- [אדישות ללמידה | מוגזם | אמונות] רק מה שעובד כרגע הוא בעל ערך
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] זו לא טעות שלי
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] הביקורת הזאת לא הוגנת
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] אין לי מה ללמוד מכישלון
- [אדישות ללמידה | חסרוני | אמונות] ביקורת היא תמיד שלילית ופוגענית
- [אדישות ללמידה | חסרוני | אמונות] טעויות מעידות על חוסר יכולת
- [אדישות ללמידה | חסרוני | אמונות] אם אני טועה משמע אני נכשל
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] הטעות הזאת הורסת הכל
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אני לעולם לא אלמד מספיק טוב
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] כל משוב שלילי מוכיח שאני חסר תקווה
- [אדישות ללמידה | מוגזם | אמונות] טעויות הן בלתי נסלחות
- [אדישות ללמידה | מוגזם | אמונות] משוב שלילי מעיד על ערך אישי נמוך
- [אדישות ללמידה | מוגזם | אמונות] אני חייב להיות מושלם כדי להצליח
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] למה שאלמד אחרים במה שעבדתי קשה להשיג
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] ידע הוא כוח שצריך לשמור לעצמי
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] שיגלו לבד כמו שאני גיליתי
- [אדישות ללמידה | חסרוני | אמונות] הצלחה היא משחק סכום אפס
- [אדישות ללמידה | חסרוני | אמונות] ידע הוא יתרון תחרותי בלעדי
- [אדישות ללמידה | חסרוני | אמונות] שיתוף מפחית את הערך האישי שלי
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] חייב לספר לכולם על כל מה שלמדתי
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] איך אנשים לא מבינים כמה זה חשוב שידעו
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אני חייב להעביר את הידע הזה
- [אדישות ללמידה | מוגזם | אמונות] כל פיסת מידע חייבת להיות משותפת
- [אדישות ללמידה | מוגזם | אמונות] אחריותי להפיץ ידע בכל מחיר
- [אדישות ללמידה | מוגזם | אמונות] אי-שיתוף הוא כמעט חטא
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] אני תמיד לומד ככה
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] אם זה לא עובד, כנראה שהחומר קשה מדי
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] שיטות חדשות הן רק טרנדים זמניים
- [אדישות ללמידה | חסרוני | אמונות] יש רק דרך נכונה אחת ללמידה
- [אדישות ללמידה | חסרוני | אמונות] שינוי שיטה מעיד על כישלון
- [אדישות ללמידה | חסרוני | אמונות] גמישות היא בזבוז זמן
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] שיטה זו לא מושלמת, חייב למצוא אחרת
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אולי הטכניקה הבאה תהיה הפריצה
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אף פעם לא אצליח ללמוד בדרך הנכונה
- [אדישות ללמידה | מוגזם | אמונות] קיימת שיטת למידה מושלמת עבורי
- [אדישות ללמידה | מוגזם | אמונות] השיטה הנכונה תפתור את כל בעיות הלמידה
- [אדישות ללמידה | מוגזם | אמונות] הצלחה תלויה במציאת הטכניקה המושלמת
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] חייב לסיים את זה כבר
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] זה רק כי אני צריך את התעודה
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] אין לי שום הנאה מזה
- [אדישות ללמידה | חסרוני | אמונות] למידה היא תמיד סבל הכרחי
- [אדישות ללמידה | חסרוני | אמונות] הנאה ולמידה הם הפכים
- [אדישות ללמידה | חסרוני | אמונות] אנשים לומדים רק בגלל הכרח חיצוני
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] הלמידה היא המציאות האמיתית היחידה
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אני מרגיש בטוח רק כשאני לומד
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] העולם האמיתי פחות חשוב מעולם הידע
- [אדישות ללמידה | מוגזם | אמונות] רק בלמידה יש משמעות אמיתית
- [אדישות ללמידה | מוגזם | אמונות] העולם האקדמי עליון על המציאות היומיומית
- [אדישות ללמידה | מוגזם | אמונות] ערכי נמדד רק בהישגים אקדמיים
- [אדישות ללמידה | חסרוני | התנהגויות] דחיינות בביצוע משימות למידה
- [אדישות ללמידה | חסרוני | התנהגויות] למידה מינימלית רק למבחן
- [אדישות ללמידה | חסרוני | התנהגויות] הימנעות מהתעדכנות מקצועית
- [אדישות ללמידה | מוגזם | התנהגויות] למידה על חשבון שינה ואכילה
- [אדישות ללמידה | מוגזם | התנהגויות] ביטול אירועים חברתיים לטובת למידה
- [אדישות ללמידה | מוגזם | התנהגויות] צבירת חומרי לימוד ללא עיבוד
- [אדישות ללמידה | חסרוני | התנהגויות] הימנעות מחקירה מעמיקה
- [אדישות ללמידה | חסרוני | התנהגויות] קבלה פסיבית של מידע
- [אדישות ללמידה | חסרוני | התנהגויות] העדפת הסברים פשטניים
- [אדישות ללמידה | מוגזם | התנהגויות] שאילת שאלות בלתי פוסקת
- [אדישות ללמידה | מוגזם | התנהגויות] חיטוט בפרטים זניחים
- [אדישות ללמידה | מוגזם | התנהגויות] חזרה אובססיבית לאותן שאלות
- [אדישות ללמידה | חסרוני | התנהגויות] נטישת משימות למידה באמצע
- [אדישות ללמידה | חסרוני | התנהגויות] הימנעות מנושאים מאתגרים
- [אדישות ללמידה | חסרוני | התנהגויות] ויתור אחרי ניסיון ראשון
- [אדישות ללמידה | מוגזם | התנהגויות] חזרה אובססיבית על אותו חומר
- [אדישות ללמידה | מוגזם | התנהגויות] התעלמות מסימני שחיקה
- [אדישות ללמידה | מוגזם | התנהגויות] הקדשת זמן לא פרופורציונלי לנושא יחיד
- [אדישות ללמידה | חסרוני | התנהגויות] הימנעות מתרגול מעשי
- [אדישות ללמידה | חסרוני | התנהגויות] שינון במקום הבנה
- [אדישות ללמידה | חסרוני | התנהגויות] אי-יכולת להסביר רעיונות במילים פשוטות
- [אדישות ללמידה | מוגזם | התנהגויות] דילוג על שלבי הבנה חיוניים
- [אדישות ללמידה | מוגזם | התנהגויות] יישום פזיז ללא הכנה מספקת
- [אדישות ללמידה | מוגזם | התנהגויות] התנגדות לכל למידה שאינה מיידית 'מעשית'
- [אדישות ללמידה | חסרוני | התנהגויות] הימנעות ממצבים של הערכה
- [אדישות ללמידה | חסרוני | התנהגויות] האשמת גורמים חיצוניים בכישלון
- [אדישות ללמידה | חסרוני | התנהגויות] התעלמות ממשוב ביקורתי
- [אדישות ללמידה | מוגזם | התנהגויות] ניתוח-יתר של כל טעות קטנה
- [אדישות ללמידה | מוגזם | התנהגויות] חזרה אובססיבית על כישלונות
- [אדישות ללמידה | מוגזם | התנהגויות] הימנעות מלמידה בשל פחד מטעויות
- [אדישות ללמידה | חסרוני | התנהגויות] הסתרת מקורות מידע
- [אדישות ללמידה | חסרוני | התנהגויות] הימנעות מהסברים מלאים
- [אדישות ללמידה | חסרוני | התנהגויות] התחמקות משאלות
- [אדישות ללמידה | מוגזם | התנהגויות] הצפת אחרים במידע לא מבוקש
- [אדישות ללמידה | מוגזם | התנהגויות] התעלמות מרמזים חברתיים
- [אדישות ללמידה | מוגזם | התנהגויות] מונולוגים ארוכים על תחומי עניין
- [אדישות ללמידה | חסרוני | התנהגויות] דבקות בשיטה יחידה למרות קשיים
- [אדישות ללמידה | חסרוני | התנהגויות] דחיית הצעות לגישות אחרות
- [אדישות ללמידה | חסרוני | התנהגויות] האשמת החומר או המורה במקום השיטה
- [אדישות ללמידה | מוגזם | התנהגויות] קפיצה מטכניקה לטכניקה
- [אדישות ללמידה | מוגזם | התנהגויות] רכישה בלתי פוסקת של חומרי עזר
- [אדישות ללמידה | מוגזם | התנהגויות] שינוי גישה לפני בחינה מעמיקה
- [אדישות ללמידה | חסרוני | התנהגויות] דחיינות כרונית
- [אדישות ללמידה | חסרוני | התנהגויות] למידה מינימלית להשגת ציון עובר
- [אדישות ללמידה | חסרוני | התנהגויות] מיקוד בלעדי בתגמולים חיצוניים
- [אדישות ללמידה | מוגזם | התנהגויות] הזנחת יחסים ומחויבויות
- [אדישות ללמידה | מוגזם | התנהגויות] הימנעות ממצבים לא אקדמיים
- [אדישות ללמידה | מוגזם | התנהגויות] למידה אובססיבית כבריחה
