BEZEN | יושרה | משפטים טעונים (חסרוני+מוגזם)
- [רמאות | חסרוני | אמונות] שליטה במידע היא יתרון הכרחי
- [רמאות | מוגזם | דפוסי חשיבה] שקיפות מלאה בכל מחיר
- [רמאות | מוגזם | דפוסי חשיבה] אין לי סודות בכלל
- [רמאות | מוגזם | דפוסי חשיבה] כולם זכאים לדעת הכל עלי
- [רמאות | מוגזם | אמונות] שקיפות מוחלטת היא הערך העליון
- [רמאות | מוגזם | אמונות] הסתרה כלשהי היא חוסר יושרה
- [רמאות | מוגזם | אמונות] רק מי שמסתיר יש לו מה להסתיר
- [רמאות | חסרוני | דפוסי חשיבה] העיקר שאני ארוויח
- [רמאות | חסרוני | דפוסי חשיבה] חיים הם משחק סכום אפס
- [רמאות | חסרוני | דפוסי חשיבה] חולשה של אחרים היא הזדמנות עבורי
- [רמאות | חסרוני | אמונות] כל אחד צריך לדאוג לעצמו
- [רמאות | חסרוני | אמונות] צדק הוא מושג נאיבי
- [רמאות | חסרוני | אמונות] חזקים מנצלים חלשים - זה טבע האדם
- [רמאות | מוגזם | דפוסי חשיבה] הכללים חייבים להיות זהים לכולם תמיד
- [רמאות | מוגזם | דפוסי חשיבה] אסור לעשות יוצאים מן הכלל
- [רמאות | מוגזם | דפוסי חשיבה] הגינות היא מעל הכל, גם על חשבון חמלה
- [רמאות | מוגזם | אמונות] הגינות משמעה זהות בכל מצב
- [רמאות | מוגזם | אמונות] התחשבות בנסיבות מיוחדות היא משוא פנים
- [רמאות | מוגזם | אמונות] רגש לא צריך להשפיע על הגינות
- [רמאות | חסרוני | דפוסי חשיבה] תמיד ללכת עם האופציה המשתלמת ביותר
- [רמאות | חסרוני | דפוסי חשיבה] אין טעם לדבוק במה שכבר לא מועיל
- [רמאות | חסרוני | דפוסי חשיבה] להחליף צד כשהצד השני מתחיל להפסיד
- [רמאות | חסרוני | אמונות] נאמנות היא תפיסה מיושנת
- [רמאות | חסרוני | אמונות] יש לנצל הזדמנויות תמיד
- [רמאות | חסרוני | אמונות] אני במרכז ולא המחויבויות שלי
- [רמאות | מוגזם | דפוסי חשיבה] נאמנות בכל מחיר
- [רמאות | מוגזם | דפוסי חשיבה] לעולם לא לבגוד
- [רמאות | מוגזם | דפוסי חשיבה] תהיה אשר תהיה ההתנהגות של הצד השני, אני נשאר נאמן
- [רמאות | מוגזם | אמונות] בגידה היא החטא החמור מכל
- [רמאות | מוגזם | אמונות] נאמנות עולה על כל ערך אחר
- [רמאות | מוגזם | אמונות] ספק הוא חולשה
- [רמאות | חסרוני | דפוסי חשיבה] אם אני רוצה משהו, זה שלי
- [רמאות | חסרוני | דפוסי חשיבה] פרטיות היא רק תירוץ להסתיר
- [רמאות | חסרוני | דפוסי חשיבה] אני לא צריך לבקש רשות
- [רמאות | חסרוני | אמונות] קרבה משמעה חוסר גבולות
- [רמאות | חסרוני | אמונות] אנשים סוגרים גבולות כדי להסתיר
- [רמאות | חסרוני | אמונות] גבולות הם מכשול להתקדמות
- [רמאות | מוגזם | דפוסי חשיבה] אף אחד לא יכול להתקרב אלי
- [רמאות | מוגזם | דפוסי חשיבה] שמירה על פרטיות בכל מחיר
- [רמאות | מוגזם | דפוסי חשיבה] כל בקשה היא חדירה
- [רמאות | מוגזם | אמונות] קרבה מסכנת אותי
- [רמאות | מוגזם | אמונות] עצמאות מוחלטת היא האידיאל
- [רמאות | מוגזם | אמונות] חשיפה היא סכנה
- [רמאות | חסרוני | דפוסי חשיבה] זה בסדר לא לעמוד בכל התחייבות
- [רמאות | חסרוני | דפוסי חשיבה] קיום הבטחות הוא לא כל כך חשוב
- [רמאות | חסרוני | דפוסי חשיבה] אני תמיד אומר כן גם אם לא בטוח
- [רמאות | חסרוני | אמונות] העולם גמיש מדי בשביל התחייבויות נוקשות
- [רמאות | חסרוני | אמונות] אנשים מבינים שדברים משתנים
- [רמאות | חסרוני | אמונות] כוונות טובות חשובות יותר ממעשים
- [רמאות | מוגזם | דפוסי חשיבה] אני חייב לעמוד בהתחייבות בכל מחיר
- [רמאות | מוגזם | דפוסי חשיבה] אין תירוצים לעולם
- [רמאות | מוגזם | דפוסי חשיבה] כל שינוי בתכנית הוא כישלון
- [רמאות | מוגזם | אמונות] גמישות היא סימן לחולשה
- [רמאות | מוגזם | אמונות] מילה צריכה להישמר בכל מחיר
- [רמאות | מוגזם | אמונות] קיום הבטחות חשוב יותר מתוצאות
- [רמאות | חסרוני | התנהגויות] שימוש בשקרים להשגת יתרונות
- [רמאות | חסרוני | התנהגויות] הבטחות שווא
- [רמאות | חסרוני | התנהגויות] יצירת מצג שווא
- [רמאות | מוגזם | התנהגויות] אמירות פוגעניות בשם האמת
- [רמאות | מוגזם | התנהגויות] חוסר טקט קיצוני
- [רמאות | מוגזם | התנהגויות] התעלמות מהשפעות דברים על אחרים
- [רמאות | חסרוני | התנהגויות] דרישות שונות מעצמי ומאחרים
- [רמאות | חסרוני | התנהגויות] יצירת חזית מוסרית מזויפת
- [רמאות | חסרוני | התנהגויות] הסתרת ההתנהגות האמיתית
- [רמאות | מוגזם | התנהגויות] אכיפה נוקשה של כללים
- [רמאות | מוגזם | התנהגויות] קושי להתאים ערכים למצבים חדשים
- [רמאות | מוגזם | התנהגויות] הקרבה עצמית וזולתית על מזבח העקרונות
- [רמאות | חסרוני | התנהגויות] האשמת אחרים
- [רמאות | חסרוני | התנהגויות] יצירת תירוצים
- [רמאות | חסרוני | התנהגויות] התחמקות ממשימות
- [רמאות | מוגזם | התנהגויות] התנצלות מתמדת
- [רמאות | מוגזם | התנהגויות] לקיחת תפקיד המתקן של כל בעיה
- [רמאות | מוגזם | התנהגויות] התשה עצמית בניסיונות לשלוט בכל
- [רמאות | חסרוני | התנהגויות] הסתרת מידע רלוונטי
- [רמאות | חסרוני | התנהגויות] תקשורת מעורפלת
- [רמאות | חסרוני | התנהגויות] יצירת חומות מידע
- [רמאות | מוגזם | התנהגויות] שיתוף פרטים אינטימיים ללא הבחנה
- [רמאות | מוגזם | התנהגויות] טשטוש גבולות מקצועיים ואישיים
- [רמאות | מוגזם | התנהגויות] הצפת אחרים במידע לא נחוץ
- [רמאות | חסרוני | התנהגויות] מניפולציה
- [רמאות | חסרוני | התנהגויות] הפרת הבטחות כשלא נוח
- [רמאות | חסרוני | התנהגויות] נטילת קרדיט על עבודת אחרים
- [רמאות | מוגזם | התנהגויות] התעקשות על כללים גם כשפוגעים
- [רמאות | מוגזם | התנהגויות] יחס זהה לכולם ללא קשר לצרכים שונים
- [רמאות | מוגזם | התנהגויות] התנגדות לפתרונות יצירתיים
- [רמאות | חסרוני | התנהגויות] קפיצה בין קבוצות לפי תועלת
- [רמאות | חסרוני | התנהגויות] נטישת יחסים בעת קושי
- [רמאות | חסרוני | התנהגויות] הפגנת נאמנות שטחית
- [רמאות | מוגזם | התנהגויות] תמיכה בהתנהגות פוגענית של הקבוצה
- [רמאות | מוגזם | התנהגויות] הקרבה עצמית מוגזמת
- [רמאות | מוגזם | התנהגויות] אי-זיהוי מצבים שדורשים שינוי
- [רמאות | חסרוני | התנהגויות] חדירה למרחב פיזי ללא רשות
- [רמאות | חסרוני | התנהגויות] שאלות פולשניות
- [רמאות | חסרוני | התנהגויות] לחץ מתמשך לאחר סירוב
- [רמאות | מוגזם | התנהגויות] הימנעות משיתוף
- [רמאות | מוגזם | התנהגויות] דחיית עזרה
- [רמאות | מוגזם | התנהגויות] יצירת מחסומים מלאכותיים
- [רמאות | חסרוני | התנהגויות] איחורים תדירים
- [רמאות | חסרוני | התנהגויות] שכחת התחייבויות
- [רמאות | חסרוני | התנהגויות] הבטחות שלא מתקיימות
- [רמאות | מוגזם | התנהגויות] דבקות בהתחייבויות גם כשמזיקות
- [רמאות | מוגזם | התנהגויות] תפיסת כל שינוי ככישלון מוסרי
